Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Vol,Taker Buy Quote Vol,Ignore,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MACD_Hist
2025-09-06 09:00:00,110952.77,110952.77,110693.86,110695.06,193.74674,1757152799999,21459771.30304430,26216,69.96764000,7748924.36919280,0,110899.0575,111034.015,45.04675740638608,-131.8810160470166,-96.2943464994039,-35.5866695476127
2025-09-06 10:00:00,110695.06,110804.62,110677.3,110773.62,157.49749,1757156399999,17440081.52047850,22585,85.66367000,9485893.29017190,0,110909.23900000002,111036.668,46.2461901829566,-132.88592608443287,-103.6126624164097,-29.273263668023162
2025-09-06 11:00:00,110773.62,110868.8,110675.58,110781.02,179.54833,1757159999999,19882132.31672780,28830,106.85156000,11831797.72328970,0,110912.449,111035.9876,46.36494363923818,-131.56856584498018,-109.20384310212381,-22.364722742856372
2025-09-06 12:00:00,110781.03,110898.7,110753.97,110832.58,158.76991,1757163599999,17595820.82701030,26965,103.52501000,11472814.70606500,0,110913.30799999999,111040.06199999999,47.239547503716594,-124.92404069048644,-112.34788261979635,-12.576158070690084
2025-09-06 13:00:00,110832.59,110947.91,110822.0,110936.82,154.65819,1757167199999,17148771.73727840,27172,97.04973000,10760821.46140600,0,110929.74000000002,111042.5984,49.048494528681175,-109.97913875246013,-111.87413384632912,1.8949950938689852
2025-09-06 14:00:00,110936.82,110999.83,110781.96,110807.77,144.7163,1757170799999,16048347.24552880,24572,71.61631000,7942493.05512090,0,110910.18950000001,111040.075,46.904422269772105,-107.31143337363028,-110.96159375178935,3.6501603781590717
2025-09-06 15:00:00,110807.78,110840.0,110358.11,110384.15,427.86502,1757174399999,47316028.90808150,63949,188.70421000,20866052.14393340,0,110848.67,111038.478,40.62637051985117,-137.79147692727565,-116.3275703868866,-21.463906540389047
2025-09-06 16:00:00,110384.16,110402.0,109977.0,110267.99,876.95944,1757177999999,96627929.95136670,132985,346.11904000,38139410.86137590,0,110780.55450000001,111046.9976,39.08165374183233,-169.36790447584644,-126.93563720467859,-42.43226727116786
2025-09-06 17:00:00,110267.99,110275.5,110000.0,110157.41,202.2087,1757181599999,22274824.20004930,40401,95.12199000,10478237.66784120,0,110758.1745,111059.93960000001,37.61539332136848,-200.99834880048002,-141.74817952383887,-59.250169276641145
2025-09-06 18:00:00,110157.41,110285.65,110056.29,110228.0,160.96245,1757185199999,17735320.95459760,33405,96.27440000,10607442.24842710,0,110729.57449999999,111075.73280000001,39.18397623715481,-217.85834536478797,-156.9702126920287,-60.88813267275927
2025-09-06 19:00:00,110228.01,110260.0,110000.0,110038.41,151.53,1757188799999,16688816.92808200,27077,68.40099000,7534181.49606780,0,110698.4955,111080.77139999998,36.52749440415264,-243.70901679989765,-174.3179735136025,-69.39104328629514
2025-09-06 20:00:00,110038.42,110167.01,110034.44,110167.0,140.0902,1757192399999,15421396.88448990,21670,78.80735000,8675238.39885530,0,110667.8605,111084.57139999999,39.5223093914545,-250.9271893852274,-189.6398166879275,-61.2873726972999
2025-09-06 21:00:00,110167.01,110215.03,110093.14,110201.0,168.43512,1757195999999,18557570.04757040,22268,103.43884000,11396141.44446180,0,110634.52550000002,111092.59159999999,40.32406132938443,-251.01063298474764,-201.91397994729155,-49.09665303745609
2025-09-06 22:00:00,110200.99,110238.12,110074.95,110170.55,159.17265,1757199599999,17536080.31801970,23466,85.94251000,9468211.56937350,0,110582.24549999999,111087.84220000001,39.814983223236645,-250.6445488192985,-211.66009372169296,-38.98445509760555
2025-09-06 23:00:00,110170.54,110282.82,110113.96,110187.97,144.86264,1757203199999,15964762.65237690,22630,58.99715000,6501427.51416760,0,110537.53300000001,111081.6016,40.27948696864488,-246.11175297664886,-218.55042557268416,-27.561327403964697
2025-09-07 00:00:00,110187.98,110367.37,110180.0,110356.75,274.12078,1757206799999,30222357.78328130,27126,122.70333000,13527134.38029600,0,110511.56450000001,111058.92199999999,44.73035791163949,-226.29179323694552,-220.09869910553647,-6.193094131409055
2025-09-07 01:00:00,110356.74,110587.86,110332.81,110546.66,251.76683,1757210399999,27811696.60406690,34329,97.30143000,10748873.73356840,0,110503.19750000001,111055.23780000002,49.30829582267699,-193.0349952273391,-214.685958329897,21.65096310255791
2025-09-07 02:00:00,110546.66,110692.52,110444.43,110666.24,231.20078,1757213999999,25556274.54678660,29285,84.87698000,9382471.27602800,0,110498.86799999999,111059.53020000001,52.00406733770517,-155.24012504630082,-202.79679167317778,47.55666662687696
2025-09-07 03:00:00,110666.24,110733.12,110596.71,110629.15,191.54953,1757217599999,21197602.47304890,26088,84.60844000,9363592.55884780,0,110489.04549999998,111049.68299999999,51.09641488548132,-126.81838772443007,-187.60111088342825,60.78272315899818
2025-09-07 04:00:00,110629.15,110638.0,110489.96,110557.76,140.43398,1757221199999,15525928.91687890,22889,40.29623000,4454914.69552530,0,110469.29550000001,111034.02519999999,49.312379497896856,-108.80034979163611,-171.84095866506982,63.04060887343371
2025-09-07 05:00:00,110557.77,110699.0,110557.76,110649.44,163.57402,1757224799999,18099955.16611220,24334,46.89057000,5188239.57830650,0,110467.0145,111020.77859999999,51.64721575039918,-86.13025910593569,-154.698818753243,68.5685596473073
2025-09-07 06:00:00,110649.45,110665.35,110472.33,110504.15,195.71662,1757228399999,21639586.13182150,21863,56.19939000,6212989.01772610,0,110453.541,111001.9616,47.88294237441538,-78.97733610025898,-139.5545222226462,60.57718612238722
2025-09-07 07:00:00,110504.14,110911.42,110463.1,110753.42,373.02249,1757231999999,41306280.55499740,39599,238.11592000,26373813.04075400,0,110452.161,110985.54,54.0683115484215,-52.588381197230774,-122.16129401756312,69.57291282033235
2025-09-07 08:00:00,110753.41,111377.19,110720.01,111071.25,524.25884,1757235599999,58232627.93357120,82066,303.65698000,33725359.42015430,0,110464.0945,110968.72520000002,60.50468043248519,-5.960016174081829,-98.92103844886687,92.96102227478504
2025-09-07 09:00:00,111071.25,111248.2,110876.88,111115.98,305.63775,1757239199999,33956992.26814690,48582,122.99190000,13663978.29231520,0,110473.05249999999,110931.9584,61.32604469135833,34.20830418505648,-72.29516992208221,106.50347410713869
